service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,1,0,20151020,20151226
2,0,0,0,0,0,0,1,20151020,20151226
3,1,1,1,1,0,0,0,20151020,20151226
4,0,0,0,0,1,0,0,20151020,20151226
5,1,1,1,1,0,0,0,20151020,20151025
6,1,1,1,1,0,0,0,20151026,20151026
7,1,1,1,1,0,0,0,20151027,20151226
8,1,1,1,1,1,0,0,20151020,20151226
9,0,0,0,0,0,1,1,20151020,20151226
10,1,1,1,1,1,0,0,20151020,20151022
11,1,1,1,1,1,0,0,20151023,20151226
12,1,1,1,1,1,0,0,20151020,20151021
13,1,1,1,1,1,0,0,20151022,20151226
14,1,1,1,1,1,0,0,20151026,20151226
15,1,1,1,1,1,0,0,20151020,20151025
16,1,1,1,1,0,0,0,20151026,20151226
17,0,0,0,0,0,1,1,20151020,20151024
18,0,0,0,0,0,1,1,20151025,20151226
19,1,1,1,1,1,1,1,20151020,20151226
20,0,0,0,0,0,0,1,20151020,20151025
21,1,1,1,1,0,0,0,20151020,20151021
22,1,1,1,1,0,0,0,20151022,20151226
23,0,1,0,1,0,0,0,20151020,20151226
24,1,0,1,0,1,0,0,20151020,20151226
25,0,1,1,1,1,0,0,20151020,20151226
26,1,1,1,1,1,0,0,20151020,20151020
27,1,1,1,1,1,0,0,20151021,20151025
28,0,1,1,1,1,0,0,20151020,20151226
29,0,0,0,0,0,1,0,20151020,20151226
30,1,0,0,0,0,0,0,20151020,20151226
31,0,0,0,0,0,0,1,20151020,20151226
