route_id,agency_id,route_short_name,route_long_name,route_type,route_color
L991D1,1,A,,1,408000
L992D1,1,B,,1,FFFF00
L993D1,1,C,,1,FF0000
L1D1,1,1,,0,
L3D1,1,3,,0,
L4D1,1,4,,0,
L5D1,1,5,,0,
L6D1,1,6,,0,
L7D1,1,7,,0,
L8D1,1,8,,0,
L9D1,1,9,,0,
L10D1,1,10,,0,
L11D1,1,11,,0,
L12D1,1,12,,0,
L14D1,1,14,,0,
L16D1,1,16,,0,
L17D1,1,17,,0,
L18D1,1,18,,0,
L20D1,1,20,,0,
L22D1,1,22,,0,
L24D1,1,24,,0,
L25D1,1,25,,0,
L26D1,1,26,,0,
L37D1,1,37,,0,
L51D1,1,51,,0,
L52D1,1,52,,0,
L53D1,1,53,,0,
L54D1,1,54,,0,
L55D1,1,55,,0,
L56D1,1,56,,0,
L57D1,1,57,,0,
L58D1,1,58,,0,
L59D1,1,59,,0,
L91D1,1,91,,0,
L100D1,1,100,,3,
L101D1,1,101,,3,
L102D1,1,102,,3,
L103D1,1,103,,3,
L105D1,1,105,,3,
L106D1,1,106,,3,
L107D1,1,107,,3,
L108D1,1,108,,3,
L109D1,1,109,,3,
L111D1,1,111,,3,
L112D1,1,112,,3,
L113D1,1,113,,3,
L114D1,1,114,,3,
L116D1,1,116,,3,
L118D1,1,118,,3,
L119D1,1,119,,3,
L120D1,1,120,,3,
L121D1,1,121,,3,
L123D1,1,123,,3,
L124D1,1,124,,3,
L125D1,1,125,,3,
L128D1,1,128,,3,
L129D1,1,129,,3,
L131D1,1,131,,3,
L133D1,1,133,,3,
L135D1,1,135,,3,
L136D1,1,136,,3,
L137D1,1,137,,3,
L138D1,1,138,,3,
L139D1,1,139,,3,
L140D1,1,140,,3,
L142D1,1,142,,3,
L143D1,1,143,,3,
L144D1,1,144,,3,
L147D1,1,147,,3,
L150D1,1,150,,3,
L151D1,1,151,,3,
L152D1,1,152,,3,
L156D1,1,156,,3,
L157D1,1,157,,3,
L158D1,1,158,,3,
L160D1,1,160,,3,
L161D1,1,161,,3,
L162D1,1,162,,3,
L163D1,1,163,,3,
L167D1,1,167,,3,
L168D1,1,168,,3,
L169D1,1,169,,3,
L170D1,1,170,,3,
L172D1,1,172,,3,
L174D1,1,174,,3,
L175D1,1,175,,3,
L176D1,1,176,,3,
L177D1,1,177,,3,
L179D1,1,179,,3,
L180D1,1,180,,3,
L181D1,1,181,,3,
L183D1,1,183,,3,
L184D1,1,184,,3,
L185D1,1,185,,3,
L186D1,1,186,,3,
L188D1,1,188,,3,
L189D1,1,189,,3,
L191D1,1,191,,3,
L192D1,1,192,,3,
L193D1,1,193,,3,
L195D1,1,195,,3,
L196D1,1,196,,3,
L197D1,1,197,,3,
L200D1,1,200,,3,
L201D1,1,201,,3,
L202D1,1,202,,3,
L207D1,1,207,,3,
L213D1,1,213,,3,
L215D1,1,215,,3,
L230D1,1,230,,3,
L231D1,1,231,,3,
L236D1,1,236,,3,
L241D1,1,241,,3,
L244D1,1,244,,3,
L245D1,1,245,,3,
L250D1,1,250,,3,
L253D1,1,253,,3,
L255D1,1,255,,3,
L257D1,1,257,,3,
L261D1,1,261,,3,
L265D1,1,265,,3,
L266D1,1,266,,3,
L267D1,1,267,,3,
L273D1,1,273,,3,
L291D1,1,291,,3,
L301D1,1,301,,3,
L305D1,1,305,,3,
L312D1,1,312,,3,
L329D1,1,329,,3,
L340D1,1,340,,3,
L347D1,1,347,,3,
L351D1,1,351,,3,
L352D1,1,352,,3,
L355D1,1,355,,3,
L359D1,1,359,,3,
L363D1,1,363,,3,
L364D1,1,364,,3,
L366D1,1,366,,3,
L501D1,1,501,,3,
L502D1,1,502,,3,
L503D1,1,503,,3,
L504D1,1,504,,3,
L505D1,1,505,,3,
L506D1,1,506,,3,
L507D1,1,507,,3,
L509D1,1,509,,3,
L510D1,1,510,,3,
L511D1,1,511,,3,
L512D1,1,512,,3,
L513D1,1,513,,3,
L514D1,1,514,,3,
L515D1,1,515,,3,
L551D1,1,551,,3,
L553D1,1,553,,3,
L555D1,1,555,,3,
L556D1,1,556,,3,
L558D1,1,558,,3,
L559D1,1,559,,3,
L560D1,1,560,,3,
L561D1,1,561,,3,
L564D1,1,564,,3,
L565D1,1,565,,3,
L566D1,1,566,,3,
L567D1,1,567,,3,
L569D1,1,569,,3,
L570D1,1,570,,3,
L571D1,1,571,,3,
L575D1,1,575,,3,
L576D1,1,576,,3,
L605D1,1,605,,3,
L753D1,1,X-S5,,3,
L790D1,1,AE,,3,
L799D1,1,H1,,3,
L801D1,1,X1,,3,
L811D1,1,X11,,3,
L824D1,1,X24,,3,
L855D1,1,X55,,3,
L899D1,1,XLD,,3,
L110D6,6,110,,3,
L115D11,11,115,,3,
L165D18,18,165,,3,
L173D18,18,173,,3,
L194D63,63,194,,3,
L205D29,29,205,,3,
L220D18,18,220,,3,
L221D18,18,221,,3,
L223D18,18,223,,3,
L232D11,11,232,,3,
L240D18,18,240,,3,
L251D18,18,251,,3,
L260D29,29,260,,3,
L262D13,13,262,,3,
L263D29,29,263,,3,
L264D21,21,264,,3,
L269D29,29,269,,3,
L293D63,63,293,,3,
L293D11,11,293,,3,
L295D63,63,295,,3,
L296D63,63,296,,3,
L297D18,18,297,,3,
L302D63,63,302,,3,
L303D18,18,303,,3,
L304D18,18,304,,3,
L306D8,8,306,,3,
L307D8,8,307,,3,
L308D18,18,308,,3,
L309D18,18,309,,3,
L310D18,18,310,,3,
